session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,session_id_synthesis,H,R,S,M,Phi_neural,hrsm_domain
755434585,LGd,spontaneous,2072,15,ok,0.7695194902923185,0.8006151482826812,0.0310956579903627,-0.0012191528244396,0.0006657557710734,0.0323148108148023,0.0099009900990099,0.06,100,755434585,0.683631553343516,0.6868007095781867,0.2437299241833771,0.4104274444207412,0.4901620149429663,high_high_high_high
756029989,LGd,spontaneous,2071,15,ok,0.5931342400119864,0.6701982608243766,0.0770640208123901,-0.0017974295989598,0.0031041748583915,0.07886145041135,0.0099009900990099,0.3,100,756029989,1.0741936111114678,0.2218616822848518,0.2203341695989682,0.2633421457737129,0.3548038366331841,high_mid_mid_high
715093703,VISl,spontaneous,2071,15,ok,0.4149056871020068,0.4911359140106753,0.0762302269086685,-0.0027310556674897,0.0017554096970297,0.0789612825761583,0.0099009900990099,0.05,100,715093703,-0.872608417213339,0.4583949660394217,0.2122666085469111,-0.0994054053589387,-0.1109863710262901,low_mid_high_high
719161530,VISl,spontaneous,2071,15,ok,0.3154258055591153,0.3274226625727326,0.0119968570136173,-0.0036510987716121,0.0019528794751453,0.0156479557852294,0.0099009900990099,0.06,100,719161530,-0.3429992899098388,0.2866206270200028,0.1653082892690971,-0.0937902312575512,-0.0322409799000946,low_mid_high_mid
750749662,VISl,spontaneous,2071,15,ok,0.1414712392205204,0.1683874803867638,0.0269162411662434,-0.0040404954989896,0.0022526393906724,0.0309567366652331,0.0099009900990099,0.02,100,750749662,-0.5478326215347002,0.4412393872819362,0.0967889612084081,-0.1540222457590296,-0.0675699981900686,low_high_mid_mid
751348571,VISl,spontaneous,2071,15,ok,0.3839856503427624,0.4199186444558439,0.0359329941130814,-0.0034485072027463,0.0016066664407799,0.0393815013158278,0.0099009900990099,0.01,100,751348571,-0.3818980115753818,0.4543190320762613,0.1970368805024746,-0.1017803062290998,-0.0219422991140817,low_high_high_mid
755434585,VISl,spontaneous,2072,15,ok,0.1528124886824196,0.1394009700205962,-0.0134115186618233,-0.0046616121877152,0.0023603285834268,-0.0087499064741081,1.0,0.01,100,755434585,-0.5691032507292989,0.3275012711388552,0.0208530061913899,-0.3459475343041345,-0.1712569286871127,low_high_mid_low
756029989,VISl,spontaneous,2071,15,ok,0.3988985726491414,0.4712462369824187,0.0723476643332773,-0.0028867261821172,0.0016384293867704,0.0752343905153945,0.0099009900990099,0.05,100,756029989,0.2419520084913787,0.5120447834358011,0.2631580613856451,-0.0034574966368427,0.2127728385150027,high_high_high_mid
715093703,VISp,spontaneous,2071,15,ok,0.5111251225302448,0.5356016118437119,0.0244764893134671,-0.0026556399871129,0.0012216493373719,0.0271321293005801,0.0099009900990099,0.04,100,715093703,0.5492410364127789,0.5358895655081629,-0.1235158579534533,-0.136785310268164,0.1760426412522874,high_high_low_mid
719161530,VISp,spontaneous,2071,15,ok,0.4219266629141578,0.4645483179865536,0.0426216550723957,-0.0029809830994436,0.0014854138621768,0.0456026381718394,0.0099009900990099,0.01,100,719161530,-0.2563635349550572,0.5909024333176348,0.2682219630459801,0.0251795156728222,0.1318015165498064,mid_high_high_high
