target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory,session_id_synthesis
population_state_speed,4,0.0995963462043043,0.0975437468612008,-0.0005551760754777,0.0026844199434364,0.5,-0.004877955702343,-0.0047575806473029,0.0038004014050348,0.0074420005907394,1.0,0.099009900990099,0.0099009900990099,6,751348571
population_rate_entropy,4,0.0839367074056355,0.1286929682711643,0.0262800653972582,0.0355181631313935,1.0,-0.0046889948642317,-0.0043292126460287,0.0298904414547025,0.0398473757774222,1.0,0.0099009900990099,0.0099009900990099,1,755434585
active_unit_fraction,4,0.099110066695724,0.1323487041757851,0.0172574919110021,0.0253638431600508,0.5,-0.0048026016255312,-0.0043241986632341,0.0208990922413877,0.029688041823285,1.0,0.0247524752475247,0.0099009900990099,2,755434585
population_state_speed,4,0.1839725613138191,0.1959632830906593,0.0085420539300761,0.0091504784447997,0.75,-0.0043586933187932,-0.0043343864400632,0.0127906457201147,0.013484864884863,1.0,0.0099009900990099,0.0099009900990099,3,755434585
population_mean_rate_hz,4,0.1562782940884183,0.1719593989310659,0.0088420696642697,0.0112545025808952,0.5,-0.0043463603493264,-0.0036629597594173,0.0116709383033734,0.0149174623403125,0.5,0.504950495049505,0.0099009900990099,4,755434585
population_std_rate_hz,4,0.2000065103595379,0.2248736452880374,0.0084157074353521,0.0158456596904242,0.5,-0.0042591533476295,-0.0037667625619844,0.0116005582716658,0.0196124222524087,0.5,0.504950495049505,0.0099009900990099,5,755434585
population_l2_rate_norm,4,0.1898554127287612,0.2099512527242237,0.0076464239210671,0.0135565880914643,0.5,-0.0041471290014672,-0.0035946309404604,0.0104091377641422,0.0171512190319247,0.5,0.504950495049505,0.0099009900990099,6,755434585
population_mean_rate_hz,4,0.4929946003876922,0.5492865597675151,0.0747058425728337,0.0688404777650224,1.0,-0.0026152904886883,-0.0028946738088876,0.0772325645317662,0.0717351515739101,1.0,0.0099009900990099,0.0099009900990099,1,756029989
population_l2_rate_norm,4,0.4400853196589489,0.4920877130594139,0.0572819706747089,0.059890961526219,1.0,-0.0027857534629412,-0.0027353959272294,0.0597161369098036,0.0626263574534484,1.0,0.0099009900990099,0.0099009900990099,2,756029989
active_unit_fraction,4,0.3866955285403212,0.3522820656605462,0.0514069192512764,0.003518243033942,0.75,-0.0030204699103396,-0.0028510483990118,0.0551575905384253,0.0063692914329539,0.75,0.0099009900990099,0.0099009900990099,3,756029989
