target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,session_id_synthesis
population_std_rate_hz,719161530,VISp,spontaneous,2071,15,ok,0.2555956110371716,0.297153590111914,0.0415579790747423,-0.003738642269416,0.0021141259376318,0.0452966213441584,0.0099009900990099,0.04,100,719161530
active_unit_fraction,719161530,CA1,spontaneous,2071,15,ok,0.1932851600371906,0.2565684180147175,0.0632832579775268,-0.0042901565486826,0.0018694541280576,0.0675734145262095,0.0099009900990099,0.03,100,719161530
active_unit_fraction,719161530,LGd,spontaneous,2071,15,ok,0.5551169294993901,0.5967229703178324,0.0416060408184423,-0.0024801479890478,0.0014071842292535,0.0440861888074901,0.0099009900990099,0.06,100,719161530
active_unit_fraction,719161530,VISl,spontaneous,2071,15,ok,0.2732956021852533,0.341974306947626,0.0686787047623727,-0.0039408909965206,0.0020700513609959,0.0726195957588933,0.0099009900990099,0.03,100,719161530
active_unit_fraction,719161530,VISp,spontaneous,2071,15,ok,0.457827304124918,0.5198316549583958,0.0620043508334777,-0.0027607090245245,0.0016489102440881,0.0647650598580022,0.0099009900990099,0.05,100,719161530
population_l2_rate_norm,719161530,CA1,spontaneous,2071,15,ok,0.1376230171741084,0.1674442849509387,0.0298212677768303,-0.0045259831804596,0.0023297496336292,0.03434725095729,0.0099009900990099,0.05,100,719161530
population_l2_rate_norm,719161530,LGd,spontaneous,2071,15,ok,0.5311258150469842,0.5673800678744738,0.0362542528274896,-0.0026534325190367,0.0013134510885929,0.0389076853465263,0.0099009900990099,0.03,100,719161530
population_l2_rate_norm,719161530,VISl,spontaneous,2071,15,ok,0.2643381002624323,0.2671628812085163,0.0028247809460839,-0.0041704780219465,0.0018627776377741,0.0069952589680304,0.0099009900990099,0.03,100,719161530
population_l2_rate_norm,719161530,VISp,spontaneous,2071,15,ok,0.3196809740001144,0.3578132191967575,0.0381322451966431,-0.0039767607239638,0.0018068870441479,0.042109005920607,0.0099009900990099,0.02,100,719161530
population_rate_entropy,719161530,CA1,spontaneous,2071,15,ok,0.2021259302459885,0.2727071290871703,0.0705811988411817,-0.0037113217311159,0.002285133175351,0.0742925205722976,0.0099009900990099,0.06,100,719161530
population_rate_entropy,719161530,LGd,spontaneous,2071,15,ok,0.4542372569457974,0.4853203744930386,0.0310831175472412,-0.0031368990101293,0.0017763271685466,0.0342200165573705,0.0099009900990099,0.05,100,719161530
population_rate_entropy,719161530,VISl,spontaneous,2071,15,ok,0.2184695895125572,0.2803944194272474,0.0619248299146901,-0.0040081792211887,0.0022769625471679,0.0659330091358789,0.0099009900990099,0.05,100,719161530
population_rate_entropy,719161530,VISp,spontaneous,2071,15,ok,0.3763159161109259,0.4324587818290142,0.0561428657180882,-0.0029455420833305,0.0015736145396069,0.0590884078014188,0.0099009900990099,0.05,100,719161530
population_state_speed,719161530,CA1,spontaneous,2071,15,ok,0.1159472344966759,0.1342946889684781,0.0183474544718021,-0.0048789338856268,0.0027339307819101,0.023226388357429,0.0099009900990099,0.05,100,719161530
population_state_speed,719161530,LGd,spontaneous,2071,15,ok,0.0577145837291279,0.0583818222137084,0.0006672384845805,-0.0060049066796612,0.0028710508632373,0.0066721451642417,0.0297029702970297,0.03,100,719161530
population_state_speed,719161530,VISl,spontaneous,2071,15,ok,0.1217224528160737,0.1331718283393672,0.0114493755232935,-0.0045796759468738,0.0025077307383149,0.0160290514701673,0.0099009900990099,0.05,100,719161530
population_state_speed,719161530,VISp,spontaneous,2071,15,ok,0.1135118367438214,0.1178752311653524,0.0043633944215309,-0.0053721056534148,0.0023996568542129,0.0097355000749458,0.0099009900990099,0.0,100,719161530
