target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,session_id_synthesis,lag_label,lags,n_lags
population_mean_rate_hz,715093703,VISl,spontaneous,2071,15,ok,0.4149056871020068,0.4702510809830951,0.0553453938810882,-0.0013379505969913,0.0010259304365127,0.0566833444780796,0.0196078431372549,0.06,50,715093703,lag2,2,1
population_mean_rate_hz,715093703,VISp,spontaneous,2071,15,ok,0.5111251225302448,0.5357124292823221,0.0245873067520773,-0.0011123332541926,0.0011061866876593,0.0256996400062699,0.0196078431372549,0.18,50,715093703,lag2,2,1
population_state_speed,715093703,CA1,spontaneous,2071,15,ok,0.1251049296160619,0.1326794371099442,0.0075745074938823,-0.0023195456491811,0.0017913277755575,0.0098940531430634,0.0196078431372549,0.12,50,715093703,lag2,2,1
population_state_speed,715093703,LGd,spontaneous,2071,15,ok,0.0329353536712772,0.0282654737472985,-0.0046698799239786,-0.0025459937693182,0.0016854633536403,-0.0021238861546603,0.9215686274509804,0.1,50,715093703,lag2,2,1
population_state_speed,715093703,VISl,spontaneous,2071,15,ok,0.0589139409930837,0.0492601903677721,-0.0096537506253115,-0.0025139437083072,0.0020133591217535,-0.0071398069170043,1.0,0.12,50,715093703,lag2,2,1
population_state_speed,715093703,VISp,spontaneous,2071,15,ok,0.0334619836765823,-0.0767962660586083,-0.1102582497351907,-0.0022838143387207,0.002807599804053,-0.1079744353964699,1.0,0.22,50,715093703,lag2,2,1
active_unit_fraction,715093703,CA1,spontaneous,2071,15,ok,0.1724975248948805,0.2899102089311746,0.117412684036294,-0.0040304736202749,0.0020829667898437,0.1214431576565689,0.0196078431372549,0.04,50,715093703,lag12,"1,2",2
active_unit_fraction,715093703,LGd,spontaneous,2071,15,ok,0.3811227566636568,0.4044731621611858,0.0233504054975289,-0.0033334923911968,0.0013349212226866,0.0266838978887257,0.0196078431372549,0.0,50,715093703,lag12,"1,2",2
active_unit_fraction,715093703,VISl,spontaneous,2071,15,ok,0.3991349040580205,0.4914259193886191,0.0922910153305985,-0.0029416241850532,0.0018400788596648,0.0952326395156518,0.0196078431372549,0.1,50,715093703,lag12,"1,2",2
active_unit_fraction,715093703,VISp,spontaneous,2071,15,ok,0.5817885820715915,0.6422894704211684,0.0605008883495769,-0.0018686645491687,0.0015933010373171,0.0623695528987456,0.0196078431372549,0.08,50,715093703,lag12,"1,2",2
