target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory,session_id_synthesis,lag_label,lags,n_lags
population_state_speed,4,0.046187962334833,0.0356438771333566,-0.0102807701988238,-0.0215886388337181,0.25,-0.0048384354262965,-0.0048571950493665,-0.0052316359192964,-0.0167314437843515,0.25,0.8137254901960784,0.0196078431372549,4,715093703,lag12,"1,2",2
active_unit_fraction,4,0.3891085944430718,0.451315909345822,0.081143314656347,0.0806167688770577,1.0,-0.0049862186993398,-0.0049468376927054,0.0850641466874313,0.0855636065697632,1.0,0.0196078431372549,0.0196078431372549,1,715093703,lag123,"1,2,3",3
population_rate_entropy,4,0.3299692480854942,0.4015364718945122,0.071567223809018,0.0645425384838458,0.75,-0.0056089005773709,-0.004922589007146,0.0772182638387857,0.0694651274909918,0.75,0.0196078431372549,0.0196078431372549,2,715093703,lag123,"1,2,3",3
population_mean_rate_hz,4,0.4554481025067182,0.5060479988452947,0.0502502092091661,0.0504250527738713,1.0,-0.0043352382049495,-0.0048086244208163,0.0555322198458493,0.0552336771946877,1.0,0.0196078431372549,0.0196078431372549,3,715093703,lag123,"1,2,3",3
population_state_speed,4,0.0489592051191206,0.0390230147359744,-0.0091733733744839,-0.0344028524008459,0.25,-0.0077149807966566,-0.0076263691040705,-0.0014583925778272,-0.0267764832967754,0.5,0.6666666666666666,0.0196078431372549,4,715093703,lag123,"1,2,3",3
active_unit_fraction,4,0.3907789693781424,0.4557605974338919,0.0872846282122539,0.0888541244215897,1.0,-0.006535138010086,-0.0064345913989551,0.0927526666954387,0.0952887158205448,1.0,0.0196078431372549,0.0196078431372549,1,715093703,lag1234,"1,2,3,4",4
population_rate_entropy,4,0.3349424922784119,0.4088917074728802,0.0739492151944682,0.076546881756033,1.0,-0.0076119641762836,-0.0064763266432904,0.0816464534015212,0.0830232083993235,1.0,0.0196078431372549,0.0196078431372549,2,715093703,lag1234,"1,2,3,4",4
population_mean_rate_hz,4,0.4573209883756674,0.5115396854104048,0.0536675498636398,0.0539431234491885,1.0,-0.0062639530622028,-0.0068412380113635,0.0610860728241639,0.060784361460552,1.0,0.0196078431372549,0.0196078431372549,3,715093703,lag1234,"1,2,3,4",4
population_state_speed,4,0.0479132975484449,0.0375427150975997,-0.0103705824508452,-0.0471757350732101,0.25,-0.0100501281244689,-0.0104047721018679,-0.0004123609052361,-0.0367709629713421,0.5,0.5588235294117647,0.0196078431372549,4,715093703,lag1234,"1,2,3,4",4
active_unit_fraction,4,0.3638769737705111,0.4144334611237612,0.0448738164172836,0.0442548384591878,1.0,-0.0016247834034313,-0.0016483420066039,0.046498599820715,0.0459031804657917,1.0,0.0196078431372549,0.0196078431372549,1,719161530,lag1,1,1
population_rate_entropy,4,0.2933922256247531,0.3383088392326127,0.0380389742156936,0.0382125791438938,1.0,-0.001566044725734,-0.0016096052792192,0.0395108827957044,0.0398221844231131,1.0,0.0196078431372549,0.0196078431372549,2,719161530,lag1,1,1
population_mean_rate_hz,4,0.3665987208984864,0.3882482336660739,0.0293746214929366,0.0266165008302217,1.0,-0.0015561483932328,-0.0016270723767729,0.0313024502125561,0.0282435732069947,1.0,0.0196078431372549,0.0196078431372549,3,719161530,lag1,1,1
